player_a,player_b,common_teammate_count
8448208,8458951,21
8448208,8462038,8
8448208,8462042,38
8448208,8464989,15
8448208,8465058,15
8448208,8465166,6
8448208,8465951,8
8448208,8466138,17
8448208,8466139,10
8448208,8466140,12
8448208,8466142,12
8448208,8466148,13
8448208,8466158,10
8448208,8466251,10
8448208,8466378,7
8448208,8467096,9
8448208,8467329,20
8448208,8467330,5
8448208,8467331,11
8448208,8467338,16
8448208,8467344,8
8448208,8467370,10
8448208,8467371,29
8448208,8467389,17
8448208,8467400,12
8448208,8467407,12
8448208,8467423,19
8448208,8467452,10
8448208,8467496,5
8448208,8467514,5
8448208,8467875,15
8448208,8467876,15
8448208,8467950,8
8448208,8468011,15
8448208,8468064,5
8448208,8468083,7
8448208,8468085,26
8448208,8468208,5
8448208,8468309,20
8448208,8468493,11
8448208,8468498,6
8448208,8468505,24
8448208,8468508,9
8448208,8468509,8
8448208,8468513,19
8448208,8468526,9
8448208,8468535,13
8448208,8468542,7
8448208,8468575,16
8448208,8468611,15
8448208,8468635,16
8448208,8468639,18
8448208,8468674,34
8448208,8468685,10
8448208,8469454,21
8448208,8469455,22
8448208,8469459,9
8448208,8469465,19
8448208,8469466,19
8448208,8469469,15
8448208,8469476,10
8448208,8469492,9
8448208,8469501,7
8448208,8469506,5
8448208,8469508,9
8448208,8469521,5
8448208,8469531,6
8448208,8469544,20
8448208,8469555,6
8448208,8469598,13
8448208,8469665,24
8448208,8469707,20
8448208,8469760,5
8448208,8469770,31
8448208,8470039,20
8448208,8470041,15
8448208,8470047,19
8448208,8470104,16
8448208,8470120,5
8448208,8470121,6
8448208,8470144,8
8448208,8470151,8
8448208,8470159,16
8448208,8470207,6
8448208,8470274,11
8448208,8470281,13
8448208,8470320,7
8448208,8470324,6
8448208,8470358,11
8448208,8470543,6
8448208,8470594,12
8448208,8470595,22
8448208,8470600,10
8448208,8470602,7
8448208,8470604,18
8448208,8470606,7
8448208,8470607,10
8448208,8470610,17
8448208,8470611,8
8448208,8470612,10
8448208,8470613,6
8448208,8470614,13
8448208,8470616,12
8448208,8470617,11
8448208,8470619,25
8448208,8470621,15
8448208,8470622,16
8448208,8470630,5
8448208,8470642,6
8448208,8470645,10
8448208,8470655,10
8448208,8470667,5
8448208,8470699,7
8448208,8470724,13
8448208,8470740,32
8448208,8470750,10
8448208,8470755,22
8448208,8470760,9
8448208,8470775,15
8448208,8470794,10
8448208,8470803,10
8448208,8470828,6
8448208,8470834,6
8448208,8470852,7
8448208,8470860,11
8448208,8470877,13
8448208,8470880,30
8448208,8470886,5
8448208,8470920,20
8448208,8471214,7
8448208,8471215,14
8448208,8471217,7
8448208,8471218,19
8448208,8471222,12
8448208,8471226,16
8448208,8471227,8
8448208,8471228,7
8448208,8471232,11
8448208,8471242,5
8448208,8471254,8
8448208,8471260,13
8448208,8471266,10
8448208,8471284,10
