player_id,player,position,birth_date
8448208,Jaromir Jagr,F,02/15/1972
8455710,Martin Brodeur,G,05/06/1972
8457063,Nicklas Lidstrom,D,04/28/1970
8457981,Teemu Selanne,F,07/03/1970
8458525,Brian Rolston,F,02/21/1973
8458529,Alex Kovalev,F,02/24/1973
8458537,Ray Whitney,F,05/08/1972
8458541,Steve Staios,D,07/28/1973
8458590,Mike Knuble,F,07/04/1972
8458637,Sean O'Donnell,D,10/13/1971
8458938,Roman Hamrlik,D,04/12/1974
8458951,Sergei Gonchar,D,04/13/1974
8459053,Adrian Aucoin,D,07/03/1973
8459140,Nikolai Khabibulin,G,01/13/1973
8459306,Robbie Tallas,G,03/20/1973
8459424,Chris Pronger,D,10/10/1974
8459429,Jason Arnott,F,10/11/1974
8459442,Saku Koivu,F,11/23/1974
8459444,Todd Bertuzzi,F,02/02/1975
8459454,Jay Pandolfo,F,12/27/1974
8459457,Jamie Langenbrunner,F,07/24/1975
8459461,Brendan Morrison,F,08/15/1975
8459492,Vinny Prospal,F,02/17/1975
8459514,Jamal Mayers,F,10/24/1974
8459596,Andrew Brunette,F,08/24/1973
8459628,Hal Gill,D,04/06/1975
8459670,Kimmo Timonen,D,03/18/1975
8459687,Scott Nichol,F,12/31/1974
8460465,Petr Sykora,F,11/19/1976
8460492,Ed Jovanovski,D,06/26/1976
8460496,Ryan Smyth,F,02/21/1976
8460504,Ethan Moreau,F,09/22/1975
8460535,Jose Theodore,G,09/13/1976
8460541,Richard Park,F,05/27/1976
8460542,Patrik Elias,F,04/13/1976
8460561,Sheldon Souray,D,07/13/1976
8460577,Milan Hejduk,F,02/14/1976
8460612,Marty Turco,G,08/13/1975
8460621,Daniel Alfredsson,F,12/11/1972
8460626,Bryce Salvador,D,02/11/1976
8460703,Tim Thomas,G,04/15/1974
8460704,Johan Hedberg,G,05/05/1973
8460705,Evgeni Nabokov,G,07/25/1975
8460712,Tomas Vokoun,G,07/02/1976
8460715,John Grahame,G,08/31/1975
8460719,Steve Sullivan,F,07/06/1974
8460720,Eric Boulton,F,08/17/1976
8460743,Tomas Holmstrom,F,01/23/1973
8460806,Dwayne Roloson,G,10/12/1969
8462033,Wade Redden,D,06/12/1977
8462036,Daymond Langkow,F,09/27/1976
8462038,Shane Doan,F,10/10/1976
8462041,Radek Dvorak,F,03/09/1977
8462042,Jarome Iginla,F,07/01/1977
8462044,Jean-Sebastien Giguere,G,05/16/1977
8462047,Martin Biron,G,08/15/1977
8462052,Brian Boucher,G,01/02/1977
8462077,Jochen Hecht,F,06/21/1977
8462129,Michal Handzus,F,03/11/1977
8462147,Miikka Kiprusoff,G,10/26/1976
8462152,Chris Mason,G,04/20/1976
8462161,Brent Johnson,G,03/12/1977
8462196,Stephane Robidas,D,03/03/1977
8462225,Filip Kuba,D,12/29/1976
8462535,Jody Shelley,F,02/07/1976
8464956,Chris Phillips,D,03/09/1978
8464966,Derek Morris,D,08/24/1978
8464967,Marty Reasoner,F,02/26/1977
8464975,Daniel Brière,F,10/06/1977
8464977,Dainius Zubrus,F,06/16/1978
8464979,Marco Sturm,F,09/08/1978
8464981,Cory Sarich,D,08/16/1978
8464984,Josh Green,F,11/16/1977
8464989,Matt Cullen,F,11/02/1976
8464994,Steve Begin,F,06/14/1978
8464999,Mathieu Garon,G,01/09/1978
8465005,Colin White,D,12/12/1977
8465009,Zdeno Chara,D,03/18/1977
8465012,Tom Poti,D,03/22/1977
8465025,Arron Asham,F,04/13/1978
8465042,Toni Lydman,D,09/25/1977
8465050,Eric Belanger,F,12/16/1977
8465056,Trent Whitfield,F,06/17/1977
8465058,Michal Rozsival,D,09/03/1978
8465059,Matt Bradley,F,06/13/1978
8465122,Brett Clark,D,12/23/1976
8465166,Craig Adams,F,04/26/1977
